"week","rank_away","rank_home","game_type","neutral","q1_home","q2_home","q3_home","q4_home","first_downs_home","fum_home","int_home","pen_num_home","pen_yards_home","possession_home","spread","home_win","Home Third Down Completion Rate ","Home Pass Completion Rate","home_season","Run-Pass Ratio","Rush Yards - Total Yards"
5,26,20,"regular","False",24,0,14,14,25,1,0,4,45,28.08,42,"Win",0.2857142857142857,0.7222222222222222,"Arkansas_2016",2.111111111111111,0.631484794275492
6,1,16,"regular","False",7,10,7,6,25,2,3,6,60,37.12,-19,"Loss",0.5,0.5208333333333334,"Arkansas_2016",0.75,0.1543340380549683
7,12,22,"regular","False",14,6,7,7,27,0,1,6,71,40.63,4,"Win",0.3125,0.59375,"Arkansas_2016",1.59375,0.4662004662004662
10,11,26,"regular","False",14,7,0,10,22,0,1,9,97,39.35,21,"Win",0.42857142857142855,0.5769230769230769,"Arkansas_2016",1.8846153846153846,0.47854077253218885
11,24,25,"regular","False",0,7,3,0,13,1,2,7,56,24.82,-28,"Loss",0.38461538461538464,0.4838709677419355,"Arkansas_2016",0.7741935483870968,0.27835051546391754
1,26,26,"regular","True",7,14,14,14,26,0,1,2,20,34.5,42,"Win",0.7,0.7272727272727273,"Arkansas_2017",2.0454545454545454,0.5686746987951807
2,23,26,"regular","False",7,0,0,0,13,1,0,5,49,26.13,-21,"Loss",0.2857142857142857,0.391304347826087,"Arkansas_2017",1.3478260869565217,0.48314606741573035
4,26,26,"regular","True",7,14,7,15,21,0,1,9,69,32.28,-7,"Loss",0.38461538461538464,0.48148148148148145,"Arkansas_2017",1.6666666666666667,0.49452954048140046
5,26,26,"regular","False",14,14,7,7,29,0,1,3,35,41.58,18,"Win",0.6923076923076923,0.7307692307692307,"Arkansas_2017",1.9615384615384615,0.46558704453441296
8,21,26,"regular","False",3,3,7,7,19,3,0,7,50,28.83,-32,"Loss",0.3125,0.5769230769230769,"Arkansas_2017",1.6153846153846154,0.5119760479041916
10,26,26,"regular","False",7,10,8,14,21,1,0,5,52,28.97,1,"Win",0.3333333333333333,0.64,"Arkansas_2017",1.4,0.49521988527724664
12,16,26,"regular","False",14,0,7,0,12,1,0,4,35,26.48,-7,"Loss",0.2727272727272727,0.6666666666666666,"Arkansas_2017",1.8888888888888888,0.43891402714932126
13,26,26,"regular","False",21,7,7,10,19,0,1,8,76,26.65,-3,"Loss",0.38461538461538464,0.4666666666666667,"Arkansas_2017",1.0333333333333334,0.2982062780269058
1,26,26,"regular","False",10,28,10,7,18,0,0,4,40,29.17,35,"Win",0.4666666666666667,0.7241379310344828,"Arkansas_2018",1.2758620689655173,0.18475750577367206
3,26,26,"regular","False",0,10,0,7,20,0,6,10,70,29.93,-27,"Loss",0.25,0.4444444444444444,"Arkansas_2018",0.7111111111111111,0.375
6,1,26,"regular","False",7,7,3,14,22,2,1,2,20,32.93,-34,"Loss",0.5,0.65,"Arkansas_2018",0.775,0.4246913580246914
7,26,26,"regular","False",17,10,6,0,27,0,1,5,65,35.3,-4,"Loss",0.2222222222222222,0.6818181818181818,"Arkansas_2018",2.1818181818181817,0.6289308176100629
8,26,26,"regular","False",0,10,10,3,20,1,1,3,40,35.43,23,"Win",0.4,0.5789473684210527,"Arkansas_2018",2.789473684210526,0.599388379204893
9,26,26,"regular","False",7,7,3,14,21,0,2,6,46,24.47,-14,"Loss",0.5,0.6388888888888888,"Arkansas_2018",0.8055555555555556,0.46308724832214765
11,7,26,"regular","False",0,3,0,14,14,1,1,6,60,24.08,-7,"Loss",0.16666666666666666,0.48717948717948717,"Arkansas_2018",0.48717948717948717,0.07407407407407407
1,26,26,"regular","False",10,0,7,3,26,0,1,7,70,33.63,7,"Win",0.3333333333333333,0.5142857142857142,"Arkansas_2019",1.2,0.5164556962025316
3,26,26,"regular","False",24,3,7,21,23,1,0,5,49,26.07,21,"Win",0.5,0.5714285714285714,"Arkansas_2019",1.0,0.41346153846153844
4,26,26,"regular","False",7,0,3,14,26,0,5,6,62,29.1,-7,"Loss",0.4,0.56,"Arkansas_2019",0.64,0.26899383983572894
5,23,26,"regular","True",0,17,7,3,26,0,1,8,48,27.38,-4,"Loss",0.38461538461538464,0.6136363636363636,"Arkansas_2019",0.5909090909090909,0.2481012658227848
8,11,26,"regular","False",0,0,10,0,14,2,2,4,34,29.58,-41,"Loss",0.23529411764705882,0.475,"Arkansas_2019",0.7,0.2222222222222222
10,26,26,"regular","False",0,10,7,7,10,1,1,2,10,19.85,-30,"Loss",0.16666666666666666,0.375,"Arkansas_2019",1.0416666666666667,0.6456140350877193
11,26,26,"regular","False",7,0,0,12,12,0,2,3,25,23.05,-26,"Loss",0.3333333333333333,0.34615384615384615,"Arkansas_2019",1.0769230769230769,0.7441176470588236
14,26,26,"regular","False",7,0,7,0,16,0,0,7,50,28.5,-10,"Loss",0.3076923076923077,0.3548387096774194,"Arkansas_2019",1.0,0.6818181818181818
4,4,26,"regular","False",7,0,3,0,15,0,3,10,53,24.23,-27,"Loss",0.21428571428571427,0.5128205128205128,"Arkansas_2020",0.717948717948718,0.275
7,26,26,"regular","False",7,13,0,13,24,1,1,3,15,30.48,12,"Win",0.35294117647058826,0.6176470588235294,"Arkansas_2020",1.411764705882353,0.38071065989847713
10,26,26,"regular","False",0,0,24,0,21,0,0,2,20,27.02,11,"Win",0.5294117647058824,0.72,"Arkansas_2020",1.8,0.4794188861985472
12,26,26,"regular","False",7,7,7,3,14,0,1,5,42,18.28,-3,"Loss",0.0,0.6538461538461539,"Arkansas_2020",1.0384615384615385,0.23476297968397292
15,1,26,"regular","False",3,0,0,0,13,3,1,8,36,26.75,-49,"Loss",0.3333333333333333,0.5294117647058824,"Arkansas_2020",2.5294117647058822,0.425531914893617
1,26,26,"regular","False",7,0,10,21,18,0,1,13,117,26.1,21,"Win",0.2727272727272727,0.5714285714285714,"Arkansas_2021",2.0952380952380953,0.6568364611260054
2,15,26,"regular","False",3,13,17,7,21,0,1,4,40,31.05,19,"Win",0.45454545454545453,0.7368421052631579,"Arkansas_2021",2.473684210526316,0.7070063694267515
3,26,20,"regular","False",14,10,14,7,27,0,0,9,93,33.1,35,"Win",0.4666666666666667,0.56,"Arkansas_2021",1.92,0.42496050552922593
4,7,16,"regular","True",10,7,0,3,20,0,0,10,65,30.83,10,"Win",0.23076923076923078,0.47368421052631576,"Arkansas_2021",2.5789473684210527,0.44469525959367945
7,26,17,"regular","False",3,7,13,0,29,1,0,4,41,34.37,-15,"Loss",0.5263157894736842,0.6,"Arkansas_2021",1.542857142857143,0.5043478260869565
8,26,26,"regular","False",17,28,0,0,25,2,0,9,76,23.7,42,"Win",0.2222222222222222,0.5,"Arkansas_2021",1.8636363636363635,0.5773809523809523
10,17,26,"regular","False",10,3,3,15,23,0,0,11,84,27.77,3,"Win",0.46153846153846156,0.76,"Arkansas_2021",1.8,0.5139949109414759
13,26,25,"regular","False",3,7,14,10,14,1,0,6,55,24.82,17,"Win",0.36363636363636365,0.75,"Arkansas_2021",1.65,0.3835294117647059
17,26,21,"post","True",7,0,17,0,25,0,2,6,40,35.88,14,"Win",0.2857142857142857,0.7,"Arkansas_2021",2.9,0.7827050997782705
1,23,19,"regular","False",7,7,10,7,23,1,0,7,63,28.6,7,"Win",0.5,0.6923076923076923,"Arkansas_2022",1.7307692307692308,0.5011185682326622
2,26,16,"regular","False",7,14,0,23,28,0,0,10,121,34.62,14,"Win",0.5625,0.8571428571428571,"Arkansas_2022",3.0952380952380953,0.6455142231947484
3,26,10,"regular","False",0,14,3,21,22,2,1,6,58,24.15,11,"Win",0.38461538461538464,0.6129032258064516,"Arkansas_2022",1.1612903225806452,0.35510887772194305
5,2,20,"regular","False",0,7,16,3,27,1,0,6,31,33.45,-23,"Loss",0.29411764705882354,0.5,"Arkansas_2022",1.5,0.4960212201591512
10,26,26,"regular","False",0,3,2,14,22,0,2,6,36,29.37,-2,"Loss",0.25,0.6216216216216216,"Arkansas_2022",1.135135135135135,0.3364485981308411
11,7,26,"regular","False",3,0,0,7,15,2,0,2,15,27.27,-3,"Loss",0.35294117647058826,0.5454545454545454,"Arkansas_2022",2.090909090909091,0.5341365461847389
12,14,26,"regular","False",14,21,7,0,24,0,0,7,61,29.83,15,"Win",0.4166666666666667,0.7727272727272727,"Arkansas_2022",1.9545454545454546,0.6660039761431411
17,26,26,"post","True",24,7,7,0,29,1,1,7,61,29.13,2,"Win",0.5333333333333333,0.6551724137931034,"Arkansas_2022",1.793103448275862,0.57856093979442
1,26,26,"regular","False",21,14,7,14,21,0,0,7,86,29.28,43,"Win",0.46153846153846156,0.8,"Arkansas_2023",1.44,0.2770448548812665
2,26,26,"regular","False",7,7,7,7,19,0,0,4,34,32.27,22,"Win",0.6428571428571429,0.6842105263157895,"Arkansas_2023",2.3684210526315788,0.5584415584415584
3,26,26,"regular","False",14,10,7,0,21,1,1,14,125,35.17,-7,"Loss",0.15384615384615385,0.6857142857142857,"Arkansas_2023",1.1142857142857143,0.41745283018867924
